tree,pb.upper,pb.lower,pb.upper.woody,pb.lower.woody,fungi,pupa,larva
np8.22,,,1,,1,1,
np8.22,,,1,,0,0,
np6.29,,,1,,1,0,
np6.29,,,1,,1,0,
np6.29,,,1,,1,0,
np6.29,,,1,,1,0,
np6.29,,,1,,1,0,
np6.29,,,1,,1,0,
np6.29,,,1,,1,0,
np6.29,,,1,,1,0,
np6.29,,,1,,1,0,
np4.08,,,1,,1,0,
np4.08,,,1,,1,0,
np4.08,,,1,,1,1,
np4.08,,,1,,1,0,
np5.29,,,1,,1,0,
np5.29,,,1,,1,0,
np5.29,,,1,,1,0,
np5.29,,,,1,1,0,
np5.29,1,,,,0,0,
np5.29,,,1,,0,0,
np5.29,,,1,,1,0,
np5.29,,,1,,1,,
np5.29,,,1,,1,0,
np5.29,,,1,,1,,
np5.29,,,1,,1,,
np5.29,,,1,,1,,
np5.29,,,1,,1,,
np2.27,,,1,,1,,
np2.27,,,1,,1,,
np7.39,,,1,,1,,
np7.39,,,1,,1,,
np7.39,,,1,,1,,
np7.39,,,1,,1,,
np7.39,,,1,,,,
np7.39,,,1,,1,,1
np7.39,,,1,,1,,
np7.39,,,1,,1,,
np4.36,,,1,,1,,
np4.36,,,1,,1,1,
np4.36,,,1,,1,,
np4.36,,,1,,1,1,
np4.36,,,1,,1,,
np4.36,,,1,,1,,
np13.10,,,1,,1,,1
np6.38,,,1,,1,,
np6.38,,,1,,1,,
np6.38,1,,,,,,
np6.38,,,1,,1,,
np6.38,,,1,,1,,
np6.38,1,,,,,,
np6.38,,,1,,1,,
np6.09,,,1,,1,,
np6.09,,,1,,1,,
np6.09,,,1,,1,,
np6.09,,,1,,1,,
np6.09,,,1,,1,,
np6.09,,,1,,1,,
