"V1","V2"
7.512650868739,8.80499445006717
4.58939094335074,5.46181450545555
2.68487508938415,3.2134783345391
7.50360528071178,7.60651038895594
9.32432271697326,10.1647133140941
9.17999653174775,10.6342598755728
6.03067592257867,6.57691000303021
9.49058597395197,10.8235743208788
10.0686725591659,10.4691463122726
6.98982149350923,8.03827653091867
5.70351011521416,6.57410736539168
3.70042366127018,4.72170206939336
6.98991885897703,8.14446753892116
6.78019900951767,7.16093059297418
9.44021872762823,10.0545941073797
9.48598030401627,10.0097663234337
4.8257518815808,6.18857832299545
9.30294939043233,10.5379750923603
4.94224867608864,5.04727477568667
6.50325866014464,7.98699953063624
3.99317308946047,4.02477902860846
5.2445863368921,5.77282731654122
3.16212897072546,3.82967382972129
5.56560831610113,5.76408884953707
6.04975098231807,6.28562464704737
