"z","nestedtemp"
1,34.6369469776863
1,40.2607895819362
1,37.5267007225207
1,35.220478230512
1,38.6235769603705
1,37.1373113331353
1,38.3044808017118
1,35.9668683232224
1,35.7440112236312
1,38.1093279144135
2,35.0444711417459
2,36.4554900755991
2,33.8934009976541
2,32.8082376204612
2,37.8505436970012
2,38.9543143036871
2,35.1853672245852
2,33.6160831870373
2,32.4239004995132
2,38.5679668379079
3,34.6288292993129
3,34.2479366671175
3,35.3704410695252
3,35.1662253121202
3,33.7918191284223
3,37.5540857902818
3,32.7351705181345
3,37.3787450883246
3,32.9198473490664
3,36.3601454281519
4,35.4795223659351
4,33.5153889422531
4,36.2891995723859
4,35.6406932373647
4,38.3449710898096
4,37.5547825803673
4,34.2771805223443
4,34.7215969267476
4,40.1158357324354
4,35.5221660644005
5,33.7861537509236
5,34.3308111272431
5,32.1299116639222
5,34.6668478787662
5,32.3139561651574
5,33.3047872456439
5,30.1382657460886
5,35.2964905253768
5,33.1509928951387
5,35.8869104493624
6,30.8633476489764
6,32.1468960960448
6,33.9857759023513
6,31.6626491158263
6,32.1768024085177
6,29.4000051084488
6,32.7623331021864
6,29.8220754711284
6,31.6634771708115
6,31.643294492127
7,30.0218326448628
7,29.1996847172371
7,30.8556902141008
7,30.9859782685469
7,27.2454385988409
7,29.1212738875466
7,30.3476856752572
7,31.7187017181205
7,29.4099373157815
7,29.553272221952
8,36.0549680717887
8,35.3416109944163
8,34.5810814068679
8,36.8628618578065
8,34.529623097881
8,36.8704393782311
8,36.3779634109692
8,37.4102151952478
8,35.8459974248908
8,34.1638340150873
9,36.9727172709178
9,38.4814284010929
9,38.0885973795099
9,37.918638855342
9,36.8106018648752
9,36.8522257133908
9,36.8891714872411
9,36.722835718547
9,36.4501796375287
9,35.1611189756985
