"","x"
"1 1",0.9592
"1 2",0.9585
"1 3",0.9527
"1 4",0.9596
"1 5",0.959
"1 6",0.9546
"1 7",0.9574
"1 8",0.9586
"1 9",0.9618
"1 10",0.9611
"2 1",0.9562
"2 2",0.9569
"2 3",0.9608
"2 4",0.9623
"2 5",0.9579
"2 6",0.9582
"2 7",0.9568
"2 8",0.9607
"2 9",0.9596
"2 10",0.9572
"3 1",0.9574
"3 2",0.9561
"3 3",0.9603
"3 4",0.9546
"3 5",0.9584
"3 6",0.9505
"3 7",0.9586
"3 8",0.9517
"3 9",0.955
"3 10",0.9562
"4 1",0.952
"4 2",0.9465
"4 3",0.9545
"4 4",0.9531
"4 5",0.9569
"4 6",0.9496
"4 7",0.9485
"4 8",0.9553
"4 9",0.9548
"4 10",0.953
"5 1",0.9456
"5 2",0.9489
"5 3",0.9422
"5 4",0.9383
"5 5",0.9361
"5 6",0.9447
"5 7",0.9516
"5 8",0.9388
"5 9",0.9383
"5 10",0.9448
"6 1",0.8794
"6 2",0.9085
"6 3",0.9077
"6 4",0.9041
"6 5",0.8949
"6 6",0.9079
"6 7",0.9032
"6 8",0.9026
"6 9",0.9082
"6 10",0.9061
"7 1",0.8264
"7 2",0.7548
"7 3",0.77
"7 4",0.7522
"7 5",0.7926
"7 6",0.6476
"7 7",0.752
"7 8",0.747
"7 9",0.81
"7 10",0.7888
"8 1",0.7124
"8 2",0.6382
"8 3",0.4051
"8 4",0
"8 5",0.6533
"8 6",0.503
"8 7",0.4184
"8 8",0.6473
"8 9",0.607
"8 10",0.5912
"9 1",0.3575
"9 2",0
"9 3",0.4872
"9 4",0.4554
"9 5",0
"9 6",0.4527
"9 7",0
"9 8",0
"9 9",0
"9 10",0
