"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"sim1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"sim2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"sim3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"sim4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"sim5",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"sim6",-4.40772457939138,-4.37501489405838,-4.53210915092134,-4.46749448453313,-4.47358719454369,-4.65385875147997,-4.40809619165064,-4.58842297495637,-4.52051442456781,-4.49646008512513
"sim7",-49.3237276013838,-48.2746745940704,-47.3407707075934,-47.4149854368502,-47.3392585552242,-48.0389868771907,-45.8264154660715,-49.2436328962605,-47.7188028280295,-47.3605975219692
"sim8",-7.53954353272309,-6.47578567097243,-7.79048706705558,-10.3140530696125,-9.19610945002585,-7.32767341250365,-7.85344567420117,-8.3962344930769,-8.36198473538455,-8.13982012341783
"sim9",6.25887716846919,7.1666600123685,6.75600525855935,8.30447542465249,7.83695878589084,6.71825706834123,7.08018952657695,7.07332340713424,7.02209415795945,7.74859157279612
