"g","ses"
"T6",1.5309886619899
"RL6",-1.11586080933457
"T6",0
"T6",-1.48214714536759
"1017",-2.81493227325943
"1017",-1.13623328057054
"WC5",-1.87755495885975
"1017",-3.2666942753712
"WC5",-24.8841886844083
"RL6",-2.16583898970611
"1017",-0.77599243739716
"WC5",-3.26484768888964
"H10",-1.47655337691156
"1005",0.455150783436819
"1005",-0.680360612091128
"1005",-2.27290272039377
"RL6",-1.47075304863505
"H10",3.52388097690786
"1005",-1.89407575686512
"H10",-1.24423536061515
"WC5",-3.65786676578834
"996",0
"1017",0.447149429140652
"1023",0
"999",-1.21477470627371
"996",-1.07288838793341
"1017",-3.693115128329
"996",0
"1012",0.0424603955863352
"1023",-1.94889802470373
"1023",-0.556444352130616
"996",-2.87321624374114
"1012",0
"1012",-19.1973346699707
"1008",-1.72032400221224
"996",0
"11",0.491179349195462
"11",0
"996",-2.25190385609831
"1012",-1.88585074416422
"1008",-2.59694568874218
"11",-2.7135057754105
"1007",0
"1007",0
"1008",-2.24913024617843
"1007",0
"1023",-1.38358432775205
"10",0
"999",3.20383458691341
"11",0
"10",-1.8908552367268
"1008",-2.06138005633858
"999",0
"10",0
"996",0
"1008",-2.17844626170106
"10",-1.2458331650124
"1008",0.567453771549526
"10",-1.82864507703278
"1008",-3.8111736670607
"H10",0
"WC5",-5.69497231686867
"H10",-49.984999749925
"1008",-1.97947604752191
"1005",0
"10",-2.56267322598126
"RL6",-1.32054941060916
"999",0
"10",0
"1005",-6.9165371743811
"1005",2.19004585787312
"1005",-1.27745451737189
"1008",-3.41190593394827
"WC5",-1.3908015825589
"1008",0
"H10",-1.25265485740579
"1023",-3.1064726900189
"10",0
"999",0
"11",-2.35889442807788
"1007",0
"1017",-4.6256166541239
"1007",-1.09075078729375
"11",-1.93274930575816
"1012",-0.0880678455557614
"996",-1.32229263400258
"1017",-1.20437150663456
"1023",0
"1023",-1.27024033525404
"1012",-1.00896180490152
"996",0
"1017",0
"1012",-9.31224638081646
"WC5",0
"996",0
"WC5",-0.966879615457062
"11",-3.03541323499803
"11",0
"RL6",-1.92898209687166
"1012",-3.65491929136045
"RL6",0
"11",0
"996",0
"999",0
"1023",0
"1017",5.40966847341098
"T6",1.0239142402837
"996",-0.969723729386283
"1017",-1.77461207825016
"T6",0
"T6",-2.95820943367338
"1017",-0.614245065943035
